name,Selection,Bowl,Favorite,Underdog,Confidence_Score
JHajdin,Northwestern,Holiday,Utah,Northwestern,2
JHajdin,BYU,Idaho Potato,BYU,W. Michigan,33
JHajdin,Duke,Independence,Temple,Duke,10
JHajdin,Fresno State,Las Vegas,Fresno State,Arizona State,16
JHajdin,Missouri,Liberty,Missouri,Oklahoma State,27
JHajdin,Virginia Tech,Military,Cincinnati,Virginia Tech,1
JHajdin,Auburn,Music City,Auburn,Purdue,18
JHajdin,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
JHajdin,Utah State,New Mexico,Utah State,N. Texas,28
JHajdin,App. State,New Orleans,App. State,MTSU,29
JHajdin,Alabama,Orange,Alabama,Oklahoma,39
JHajdin,Iowa,Outback,Mississippi State,Iowa,13
JHajdin,Michigan,Peach,Michigan,Florida,35
JHajdin,Miami,Pinstripe,Miami,Wisconsin,11
JHajdin,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,23
JHajdin,Oregon,Redbox,Michigan State,Oregon,24
JHajdin,Ohio State,Rose,Ohio State,Washington,36
JHajdin,Georgia,Sugar,Georgia,Texas,37
JHajdin,Stanford,Sun,Stanford,Pittsburgh,31
JHajdin,Texas A&M,Taxslayer,Texas A&M,NC State,20
JHajdin,Vanderbilt,Texas,Vanderbilt,Baylor,26
Joel,Iowa State,Alamo,Wash. State,Iowa State,11
Joel,Arkansas St.,Arizona,Arkansas St.,Nevada,17
Joel,Houston,Armed Forces,Army,Houston,20
Joel,Toledo,Bahamas,Toledo,FIU,21
Joel,South Carolina,Belk,South Carolina,Virginia,22
Joel,Memphis,Birmingham,Memphis,Wake Forest,2
Joel,N. Illinois,Boca Raton,UAB,N. Illinois,18
Joel,Ga. Southern,Camellia,E. Michigan,Ga. Southern,7
Joel,Syracuse,Camping World,W. Virginia,Syracuse,32
Joel,TCU,Cheez-It,California,TCU,6
Joel,Penn State,Citrus,Penn State,Kentucky,13
Joel,Clemson,Cotton,Clemson,Notre Dame,38
Joel,Tulane,Cure,Tulane,Louisiana,4
Joel,Troy,Dollar General,Buffalo,Troy,5
Joel,UCF,Fiesta,LSU,UCF,10
Joel,Boise State,First Responder,Boise State,Boston College,27
Joel,San Diego State,Frisco,Ohio,San Diego State,3
Joel,S. Florida,Gasparilla,Marshall,S. Florida,16
Joel,Hawaii,Hawaii,Hawaii,La. Tech,24
Joel,Northwestern,Holiday,Utah,Northwestern,34
Joel,BYU,Idaho Potato,BYU,W. Michigan,36
Joel,Duke,Independence,Temple,Duke,8
Joel,Arizona State,Las Vegas,Fresno State,Arizona State,19
Joel,Missouri,Liberty,Missouri,Oklahoma State,37
Joel,Cincinnati,Military,Cincinnati,Virginia Tech,28
Joel,Purdue,Music City,Auburn,Purdue,29
Joel,Oklahoma,National Championship,Winner of Cotton,Winner of Orange,40
Joel,Utah State,New Mexico,Utah State,N. Texas,23
Joel,App. State,New Orleans,App. State,MTSU,9
Joel,Oklahoma,Orange,Alabama,Oklahoma,39
Joel,Iowa,Outback,Mississippi State,Iowa,15
Joel,Florida,Peach,Michigan,Florida,12
Joel,Wisconsin,Pinstripe,Miami,Wisconsin,14
Joel,Minnesota,Quick Lane,Georgia Tech,Minnesota,25
Joel,Michigan State,Redbox,Michigan State,Oregon,1
Joel,Ohio State,Rose,Ohio State,Washington,30
Joel,Georgia,Sugar,Georgia,Texas,33
Joel,Stanford,Sun,Stanford,Pittsburgh,31
Joel,Texas A&M,Taxslayer,Texas A&M,NC State,26
Joel,Vanderbilt,Texas,Vanderbilt,Baylor,35
Joey,Wash. State,Alamo,Wash. State,Iowa State,30
Joey,Nevada,Arizona,Arkansas St.,Nevada,10
Joey,Houston,Armed Forces,Army,Houston,9
Joey,Toledo,Bahamas,Toledo,FIU,22
Joey,South Carolina,Belk,South Carolina,Virginia,23
Joey,Wake Forest,Birmingham,Memphis,Wake Forest,2
Joey,N. Illinois,Boca Raton,UAB,N. Illinois,1
Joey,Ga. Southern,Camellia,E. Michigan,Ga. Southern,7
Joey,Syracuse,Camping World,W. Virginia,Syracuse,8
Joey,TCU,Cheez-It,California,TCU,3
Joey,Penn State,Citrus,Penn State,Kentucky,11
Joey,Clemson,Cotton,Clemson,Notre Dame,39
Joey,Louisiana,Cure,Tulane,Louisiana,6
Joey,Buffalo,Dollar General,Buffalo,Troy,13
Joey,LSU,Fiesta,LSU,UCF,31
Joey,Boise State,First Responder,Boise State,Boston College,20
Joey,Ohio,Frisco,Ohio,San Diego State,21
Joey,Marshall,Gasparilla,Marshall,S. Florida,17
Joey,Hawaii,Hawaii,Hawaii,La. Tech,14
Joey,Northwestern,Holiday,Utah,Northwestern,12
Joey,BYU,Idaho Potato,BYU,W. Michigan,34
Joey,Duke,Independence,Temple,Duke,16
Joey,Fresno State,Las Vegas,Fresno State,Arizona State,15
Joey,Missouri,Liberty,Missouri,Oklahoma State,35
Joey,Cincinnati,Military,Cincinnati,Virginia Tech,25
Joey,Auburn,Music City,Auburn,Purdue,27
Joey,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
Joey,Utah State,New Mexico,Utah State,N. Texas,36
Joey,App. State,New Orleans,App. State,MTSU,33
Joey,Alabama,Orange,Alabama,Oklahoma,38
Joey,Mississippi State,Outback,Mississippi State,Iowa,28
Joey,Michigan,Peach,Michigan,Florida,26
Joey,Wisconsin,Pinstripe,Miami,Wisconsin,18
Joey,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,19
Joey,Oregon,Redbox,Michigan State,Oregon,5
Joey,Ohio State,Rose,Ohio State,Washington,32
Joey,Georgia,Sugar,Georgia,Texas,37
Joey,Stanford,Sun,Stanford,Pittsburgh,29
Joey,Texas A&M,Taxslayer,Texas A&M,NC State,24
Joey,Baylor,Texas,Vanderbilt,Baylor,4
JPearce,Wash. State,Alamo,Wash. State,Iowa State,31
JPearce,Nevada,Arizona,Arkansas St.,Nevada,8
JPearce,Army,Armed Forces,Army,Houston,20
JPearce,FIU,Bahamas,Toledo,FIU,1
JPearce,South Carolina,Belk,South Carolina,Virginia,32
JPearce,Memphis,Birmingham,Memphis,Wake Forest,22
JPearce,UAB,Boca Raton,UAB,N. Illinois,5
JPearce,Ga. Southern,Camellia,E. Michigan,Ga. Southern,15
JPearce,Syracuse,Camping World,W. Virginia,Syracuse,14
JPearce,TCU,Cheez-It,California,TCU,16
JPearce,Penn State,Citrus,Penn State,Kentucky,36
JPearce,Clemson,Cotton,Clemson,Notre Dame,38
JPearce,Louisiana,Cure,Tulane,Louisiana,6
JPearce,Buffalo,Dollar General,Buffalo,Troy,17
JPearce,UCF,Fiesta,LSU,UCF,29
JPearce,Boise State,First Responder,Boise State,Boston College,25
JPearce,San Diego State,Frisco,Ohio,San Diego State,2
JPearce,Marshall,Gasparilla,Marshall,S. Florida,4
JPearce,Hawaii,Hawaii,Hawaii,La. Tech,13
JPearce,Utah,Holiday,Utah,Northwestern,27
JPearce,BYU,Idaho Potato,BYU,W. Michigan,26
JPearce,Temple,Independence,Temple,Duke,24
JPearce,Fresno State,Las Vegas,Fresno State,Arizona State,21
JPearce,Missouri,Liberty,Missouri,Oklahoma State,35
JPearce,Cincinnati,Military,Cincinnati,Virginia Tech,19
JPearce,Purdue,Music City,Auburn,Purdue,23
JPearce,Alabama,National Championship,Winner of Cotton,Winner of Orange,40
JPearce,Utah State,New Mexico,Utah State,N. Texas,3
JPearce,App. State,New Orleans,App. State,MTSU,7
JPearce,Alabama,Orange,Alabama,Oklahoma,39
JPearce,Mississippi State,Outback,Mississippi State,Iowa,30
JPearce,Michigan,Peach,Michigan,Florida,34
JPearce,Wisconsin,Pinstripe,Miami,Wisconsin,9
JPearce,Georgia Tech,Quick Lane,Georgia Tech,Minnesota,10
JPearce,Oregon,Redbox,Michigan State,Oregon,33
JPearce,Ohio State,Rose,Ohio State,Washington,18
JPearce,Georgia,Sugar,Georgia,Texas,37
JPearce,Stanford,Sun,Stanford,Pittsburgh,28
JPearce,NC State,Taxslayer,Texas A&M,NC State,11
JPearce,Vanderbilt,Texas,Vanderbilt,Baylor,12
